Plate Map,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Lokey-JAS-01 & AF01,SP40179,M06,Y6TFMB,Y6TFMB,0.9375,m,6,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M07,Y6Pyr,Y6Pyr,0.9375,m,7,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M08,Y6Iso,Y6Iso,0.9375,m,8,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M09,PhePA,PhePA,0.9375,m,9,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M10,PhePB,PhePB,0.9375,m,10,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M11,PhePC,PhePC,0.9375,m,11,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M12,PhePD,PhePD,0.9375,m,12,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M13,PhePAL,PhePAL,0.9375,m,13,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M14,PhePBL,PhePBL,0.9375,m,14,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M15,PhePCL,PhePCL,0.9375,m,15,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M16,PhePDL,PhePDL,0.9375,m,16,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M17,Antamanide,Antamanide,0.9375,m,17,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M18,Cylindrocyclin,Cylindrocyclin,0.9375,m,18,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M19,Cordyheptapeptide B,Cordyheptapeptide B,0.9375,m,19,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M20,Aspergillicin D,Aspergillicin D,0.9375,m,20,13,4.6875
Lokey-JAS-01 & AF01,SP40179,M21,SpecialK B,SpecialK B,0.9375,m,21,13,4.6875
Lokey-JAS-01 & AF01,SP40179,N05,Y6Morph,Y6Morph,0.46875,m,5,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N06,Y6TFMB,Y6TFMB,0.46875,m,6,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N07,Y6Pyr,Y6Pyr,0.46875,m,7,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N08,Y6Iso,Y6Iso,0.46875,m,8,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N09,PhePA,PhePA,0.46875,m,9,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N10,PhePB,PhePB,0.46875,m,10,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N11,PhePC,PhePC,0.46875,m,11,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N12,PhePD,PhePD,0.46875,m,12,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N13,PhePAL,PhePAL,0.46875,m,13,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N14,PhePBL,PhePBL,0.46875,m,14,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N15,PhePCL,PhePCL,0.46875,m,15,14,2.34375
