384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
BL_I_157_2ndGen,SP20231,O20,BL-I-145,BL-I-145,62.5,m
BL_I_157_2ndGen,SP20231,O21,BL-I-135,BL-I-135,62.5,m
BL_I_157_2ndGen,SP20231,O22,BL-I-150,BL-I-150,62.5,m
BL_I_157_2ndGen,SP20231,P03,BL-I-130,BL-I-130,0.003814697,m
BL_I_157_2ndGen,SP20231,P04,BL-I-131,BL-I-131,0.003814697,m
BL_I_157_2ndGen,SP20231,P05,BL-I-132,BL-I-132,0.003814697,m
BL_I_157_2ndGen,SP20231,P06,BL-I-152,BL-I-152,0.001907349,m
BL_I_157_2ndGen,SP20231,P07,BL-I-155,BL-I-155,0.003814697,m
BL_I_157_2ndGen,SP20231,P08,BL-I-108,BL-I-108,0.003814697,m
BL_I_157_2ndGen,SP20231,P09,BL-I-136,BL-I-136,0.003814697,m
BL_I_157_2ndGen,SP20231,P10,BL-I-142,BL-I-142,0.003814697,m
BL_I_157_2ndGen,SP20231,P11,BL-I-151,BL-I-151,0.003814697,m
BL_I_157_2ndGen,SP20231,P12,BL-I-148,BL-I-148,0.003814697,m
BL_I_157_2ndGen,SP20231,P13,BL_I_171,BL_I_171,125,m
BL_I_157_2ndGen,SP20231,P14,BL_I_162,BL_I_162,31.25,m
BL_I_157_2ndGen,SP20231,P15,BL_I_161,BL_I_161,31.25,m
BL_I_157_2ndGen,SP20231,P16,BL_I_160,BL_I_160,62.5,m
BL_I_157_2ndGen,SP20231,P17,BL-I-156-483,BL-I-156-483,125,m
BL_I_157_2ndGen,SP20231,P18,BL-I-156-373,BL-I-156-373,125,m
BL_I_157_2ndGen,SP20231,P19,BL-I-153,BL-I-153,125,m
BL_I_157_2ndGen,SP20231,P20,BL-I-145,BL-I-145,125,m
BL_I_157_2ndGen,SP20231,P21,BL-I-135,BL-I-135,125,m
BL_I_157_2ndGen,SP20231,P22,BL-I-150,BL-I-150,125,m
